Type,SKU,Name,Published,Visibility in catalog,Description,In stock?,Allow customer reviews?,Regular price,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
variable,PMQC/AB,"Polished Quartz Point, A/B Grade",1,hidden,"<div><strong><font color=""#0000ff"">Sold by each. </font></strong></div><p>Polished Quartz Crystal Point, A/B Grade. <br /><b>We now offer 2 different grades in our Polished Quartz Points. See also PMQC/A</b><br />**Please remember that this is a product from nature and is priced by weight so size and shape will vary.</p>",1,0,5,,,0,options,"PMQC/AB/XS: $5 - $15; ,PMQC/AB/S: $16 - $25;11,PMQC/AB/M: $26 - $35;21,PMQC/AB/L: $36 - $45;31,PMQC/AB/XL: $46 - $60;41",1,0
variation,PMQC/AB/XL,"Polished Quartz Point, A/B Grade - PMQC/AB/XL: $46 - $60",1,visible,,1,0,46,,PMQC/AB,5,options,PMQC/AB/XL: $46 - $60;41,,0
variable,PMQC/AB/XL,"Extra Large Polished Quartz Points, A/B Grade - OUT OF STOCK 08/03/2017",1,hidden,"<div><strong><font color=""#0000ff"">Sold by each. </font></strong></div><p>These extra large polished quartz points average approximately 2&quot; in width and up to 10&quot; in height. There are three price categories available.</p>",1,0,65,,,0,options,"PMQC/XL1 - 61.00 TO 80.00;,PMQC/XL2 - 81.00 TO 120.00;20.00,PMQC/XL3 - 121.00 TO 160.00;65.00",1,0
variation,PMQC/XL1,"Extra Large Polished Quartz Points, A/B Grade - OUT OF STOCK 08/03/2017 - PMQC/XL1 - 61.00 TO 80.00",1,visible,,1,0,65,,PMQC/AB/XL,1,options,PMQC/XL1 - 61.00 TO 80.00;,,0
variation,PMQC/XL2,"Extra Large Polished Quartz Points, A/B Grade - OUT OF STOCK 08/03/2017 - PMQC/XL2 - 81.00 TO 120.00",1,visible,,1,0,85,,PMQC/AB/XL,2,options,PMQC/XL2 - 81.00 TO 120.00;20.00,,0
variation,PMQC/XL3,"Extra Large Polished Quartz Points, A/B Grade - OUT OF STOCK 08/03/2017 - PMQC/XL3 - 121.00 TO 160.00",1,visible,,1,0,130,,PMQC/AB/XL,3,options,PMQC/XL3 - 121.00 TO 160.00;65.00,,0
